"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\SearchJournalPage.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 5, 31
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\forms\CreateJournalForm.js", "JavaScript", 0, 0, 364, 0, 0, 0, 5, 33, 402
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\forms\CreateJournalLineModalForm.js", "JavaScript", 0, 0, 225, 0, 0, 0, 7, 17, 249
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\forms\JournalResultsForm.js", "JavaScript", 0, 0, 144, 0, 0, 0, 0, 12, 156
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\forms\SearchJournalForm.js", "JavaScript", 0, 0, 443, 0, 0, 0, 17, 51, 511
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\menus\JournalMenu.js", "JavaScript", 0, 0, 47, 0, 0, 0, 4, 8, 59
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\CreatePurchasePage.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 5, 31
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\PurchaseInvoicePage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 2, 20
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\SearchPOInvoiceToUpdatePage.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 5, 31
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\SearchPurchaseInvoicePage.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 5, 31
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\CreatePIDistributions.js", "JavaScript", 0, 0, 244, 0, 0, 0, 3, 26, 273
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\CreatePurchaseForm.js", "JavaScript", 0, 0, 479, 0, 0, 0, 20, 49, 548
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\CreatePurchaseLineModalForm.js", "JavaScript", 0, 0, 304, 0, 0, 0, 0, 32, 336
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\PurchaseInvoiceResultsForm.js", "JavaScript", 0, 0, 281, 0, 0, 0, 0, 15, 296
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\SearchPOInvoiceToUpdateForm.js", "JavaScript", 0, 0, 377, 0, 0, 0, 21, 45, 443
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\SearchPOInvoiceToUpdateFormBKP.js", "JavaScript", 0, 0, 377, 0, 0, 0, 21, 45, 443
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\SearchPurchaseInvoiceForm.js", "JavaScript", 0, 0, 377, 0, 0, 0, 15, 48, 440
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\UpdatePOInvoiceHeaderForm.js", "JavaScript", 0, 0, 281, 0, 0, 0, 0, 15, 296
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\purchaseinvoice\forms\UpdatePOInvoiceHeaderFormBKP.js", "JavaScript", 0, 0, 281, 0, 0, 0, 0, 15, 296
